rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
1801CE07,7,7,HS451,,7/24/2021 10:12:58,,7/24/2021 10:12:58,Open Elective - III
1801CE08,7,7,CE491,,7/23/2021 10:28:55,,7/23/2021 10:28:55,CORE
1801CE08,7,7,CE495,,7/23/2021 10:28:55,,7/23/2021 10:28:55,CORE
1801CE08,7,7,CE545,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Department Elective - II
1801CE08,7,7,CE549,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Department Elective - I
1801CE08,7,7,CE571,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Department Elective - III
1801CE08,7,7,PH403,,7/23/2021 10:28:55,,7/23/2021 10:28:55,Open Elective - III
1801CB20,7,7,CB417,,7/24/2021 10:07:53,,7/24/2021 10:07:53,CORE
1801CB11,7,7,CB401,,7/23/2021 10:48:41,,7/23/2021 10:48:41,CORE
1801CB20,7,7,HS451,,7/24/2021 10:07:53,,7/24/2021 10:07:53,Open Elective - III
1801CB04,7,7,CB401,,7/23/2021 13:54:17,,7/23/2021 13:54:17,CORE
1801CB21,7,7,CB401,,7/23/2021 13:54:43,,7/23/2021 13:54:43,CORE
1801CB11,7,7,CB405,,7/23/2021 10:48:41,,7/23/2021 10:48:41,CORE
1801CE10,7,7,CE491,,7/24/2021 14:08:16,,7/24/2021 14:08:16,CORE
2012MA14,3,3,MA521,,3/22/2021 21:28:05,,3/22/2021 21:28:05,CORE
1801CE10,7,7,CE517,,7/24/2021 14:08:16,,7/24/2021 14:08:16,Department Elective - I
1801CE10,7,7,CE543,,7/24/2021 14:08:16,,7/24/2021 14:08:16,Department Elective - II
1801CE10,7,7,CE571,,7/24/2021 14:08:16,,7/24/2021 14:08:16,Department Elective - III
1801CB21,7,7,CB409,,7/23/2021 13:54:43,,7/23/2021 13:54:43,CORE
2012MA13,3,3,MA523,,3/23/2021 13:43:16,,3/23/2021 13:43:16,CORE
2012MA12,3,3,MA591,,3/24/2021 14:44:30,,3/24/2021 14:44:30,CORE
2012MA12,3,3,MA527,,3/24/2021 14:44:30,,3/24/2021 14:44:30,Elective - I
1801CE14,7,7,CE549,,7/23/2021 19:44:42,,7/23/2021 19:44:42,Department Elective - I
1801CE14,7,7,CE571,,7/23/2021 19:44:42,,7/23/2021 19:44:42,Department Elective - III
1801CE14,7,7,PH401,,7/23/2021 19:44:42,,7/23/2021 19:44:42,Open Elective - III
1801CB22,7,7,CB405,,7/23/2021 13:51:44,,7/23/2021 13:51:44,CORE
1801CB07,7,7,CB401,,7/23/2021 11:17:12,,7/23/2021 11:17:12,CORE
1801CB22,7,7,CB407,,7/23/2021 13:51:44,,7/23/2021 13:51:44,CORE
1801CB11,7,7,PH401,,7/23/2021 10:48:41,,7/23/2021 10:48:41,Open Elective - III
1801CB22,7,7,CB409,,7/23/2021 13:51:44,,7/23/2021 13:51:44,CORE
2012MA11,3,3,MA525,,3/22/2021 18:06:20,,3/22/2021 18:06:20,CORE
1801CE16,7,7,CE491,,7/24/2021 10:04:21,,7/24/2021 10:04:21,CORE
1801CE16,7,7,CE495,,7/24/2021 10:04:21,,7/24/2021 10:04:21,CORE
1801CE16,7,7,CE543,,7/24/2021 10:04:21,,7/24/2021 10:04:21,Department Elective - II
1801CE16,7,7,CE549,,7/24/2021 10:04:21,,7/24/2021 10:04:21,Department Elective - I
1801CB23,7,7,CB401,,7/23/2021 12:23:52,,7/23/2021 12:23:52,CORE
1801CB12,7,7,CB405,,7/23/2021 12:09:36,,7/23/2021 12:09:36,CORE
1801CB23,7,7,CB405,,7/23/2021 12:23:52,,7/23/2021 12:23:52,CORE
1801CE17,7,7,CE495,,7/23/2021 19:42:52,,7/23/2021 19:42:52,CORE
1801CE17,7,7,CE543,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Department Elective - II
1801CE17,7,7,CE549,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Department Elective - I
1801CE17,7,7,CE571,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Department Elective - III
1801CE17,7,7,PH401,,7/23/2021 19:42:52,,7/23/2021 19:42:52,Open Elective - III
1801CE18,7,7,CE491,,7/24/2021 09:33:36,,7/24/2021 09:33:36,CORE
1801CE18,7,7,CE495,,7/24/2021 09:33:36,,7/24/2021 09:33:36,CORE
1801CB07,7,7,CB407,,7/23/2021 11:17:12,,7/23/2021 11:17:12,CORE
2012MA09,3,3,MA527,,3/25/2021 12:05:31,,3/25/2021 12:05:31,Elective - I
1801CB12,7,7,CB417,,7/23/2021 12:09:36,,7/23/2021 12:09:36,CORE
2012MA08,3,3,MA591,,3/25/2021 20:57:43,,3/25/2021 20:57:43,CORE
1801CE19,7,7,CE491,,7/23/2021 19:45:17,,7/23/2021 19:45:17,CORE
1801CE19,7,7,CE495,,7/23/2021 19:45:17,,7/23/2021 19:45:17,CORE
2121ME20,2,2,ME521,,3/24/2021 16:43:52,,3/24/2021 16:43:52,CREDIT
2121ME20,2,2,MH503,,3/24/2021 16:43:52,,3/24/2021 16:43:52,AUDIT
2121MA03,2,2,MA527,,3/24/2021 22:17:35,,3/24/2021 22:17:35,CREDIT
2121HS13,2,2,HS711,,7/26/2021 12:42:59,,7/26/2021 12:42:59,CREDIT
2121EE06,2,2,CS564,,3/23/2021 15:52:15,,3/23/2021 15:52:15,CREDIT
2121HS04,2,2,HS732,,3/24/2021 15:10:48,,3/24/2021 15:10:48,CREDIT
2121EE08,2,2,EE540,,3/24/2021 19:25:22,,3/24/2021 19:25:22,CREDIT
2121EE06,2,2,EE534,,3/23/2021 15:52:15,,3/23/2021 15:52:15,CREDIT
2121HS05,2,2,HS711,,3/24/2021 09:44:55,,3/24/2021 09:44:55,CREDIT
2121EE03,2,2,CS564,,3/25/2021 15:11:31,,3/25/2021 15:11:31,CREDIT
2012MA07,3,3,MA533,,3/23/2021 18:30:03,,3/23/2021 18:30:03,Elective - II
2012MA06,3,3,MA523,,3/22/2021 14:00:54,,3/22/2021 14:00:54,CORE
1801CB25,7,7,CB407,,7/23/2021 20:15:03,,7/23/2021 20:15:03,CORE
1801CE21,7,7,CE545,,7/23/2021 09:42:48,,7/23/2021 09:42:48,Department Elective - III
2012MA03,3,3,MA591,,3/24/2021 22:30:04,,3/24/2021 22:30:04,CORE
2012CH22,3,3,CH530,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
2012CH22,3,3,CH521,,3/23/2021 10:16:30,,3/23/2021 10:16:30,CORE
2012CH21,3,3,CH605,,3/23/2021 22:22:05,,3/23/2021 22:22:05,Elective - I
2012CH21,3,3,CH527,,3/23/2021 22:22:05,,3/23/2021 22:22:05,CORE
2012CH20,3,3,CH521,,3/23/2021 21:01:46,,3/23/2021 21:01:46,CORE
2012CH18,3,3,CH591,,3/23/2021 20:19:46,,3/23/2021 20:19:46,CORE
2012CH18,3,3,CH521,,3/23/2021 20:19:46,,3/23/2021 20:19:46,CORE
2012CH17,3,3,CH521,,3/24/2021 22:02:27,,3/24/2021 22:02:27,CORE
1801CE24,7,7,CE495,,7/24/2021 12:41:42,,7/24/2021 12:41:42,CORE
2012CH15,3,3,CH523,,3/25/2021 11:49:33,,3/25/2021 11:49:33,CORE
2012CH15,3,3,CB501,,3/25/2021 11:49:33,,3/25/2021 11:49:33,Elective - I
2012CH13,3,3,CH591,,3/25/2021 22:04:45,,3/25/2021 22:04:45,CORE
2012CH12,3,3,CH605,,3/25/2021 21:20:29,,3/25/2021 21:20:29,Elective - I
1801CE26,7,7,CE491,,7/23/2021 19:43:54,,7/23/2021 19:43:54,CORE
2012CH11,3,3,CH605,,3/24/2021 23:55:56,,3/24/2021 23:55:56,Elective - I
1801CE26,7,7,CE543,,7/23/2021 19:43:54,,7/23/2021 19:43:54,Department Elective - II
2012CH10,3,3,CH605,,3/24/2021 22:19:33,,3/24/2021 22:19:33,Elective - I
1801CE26,7,7,CE571,,7/23/2021 19:43:54,,7/23/2021 19:43:54,Department Elective - III
2012CH09,3,3,CH605,,3/23/2021 10:12:01,,3/23/2021 10:12:01,Elective - I
1801CB28,7,7,CB405,,7/23/2021 21:39:50,,7/23/2021 21:39:50,CORE
2012CH08,3,3,CH530,,3/23/2021 10:12:37,,3/23/2021 10:12:37,CORE
1801CB28,7,7,CB407,,7/23/2021 21:39:50,,7/23/2021 21:39:50,CORE
1801CB15,7,7,CB407,,7/23/2021 11:49:54,,7/23/2021 11:49:54,CORE
2012CH07,3,3,CH521,,3/25/2021 21:55:07,,3/25/2021 21:55:07,CORE
2012CH06,3,3,CH523,,3/24/2021 22:10:36,,3/24/2021 22:10:36,CORE
2012CH04,3,3,CH530,,3/25/2021 16:24:03,,3/25/2021 16:24:03,CORE
2012CH03,3,3,CH521,,3/22/2021 09:34:51,,3/22/2021 09:34:51,CORE
2012CH01,3,3,CH525,,3/24/2021 22:08:24,,3/24/2021 22:08:24,CORE
2011MT16,3,3,MH603,,3/22/2021 12:16:25,,3/22/2021 12:16:25,CORE
2011MT07,3,3,MH603,,3/22/2021 12:26:01,,3/22/2021 12:26:01,CORE
2011MM05,3,3,MM603,,3/23/2021 14:21:24,,3/23/2021 14:21:24,CORE
2011ME11,3,3,ME603,,3/25/2021 09:21:41,,3/25/2021 09:21:41,CORE
2011MC11,3,3,MA603,,3/24/2021 21:17:47,,3/24/2021 21:17:47,CORE
2011MC06,3,3,MA603,,3/23/2021 01:13:34,,3/23/2021 01:13:34,CORE
2011EE31,3,3,EE518,,3/24/2021 20:58:41,,3/24/2021 20:58:41,CORE
2011EE24,3,3,EE518,,3/24/2021 12:39:22,,3/24/2021 12:39:22,CORE
2011EE16,3,3,EE595,,3/24/2021 16:17:33,,3/24/2021 16:17:33,CORE
2121CH02,2,2,CH605,,3/25/2021 15:41:58,,3/25/2021 15:41:58,CREDIT
1801CE31,7,7,CE495,,7/23/2021 09:42:57,,7/23/2021 09:42:57,CORE
2121CB12,2,2,CE571,,3/26/2021 08:21:18,,3/26/2021 08:21:18,CREDIT
2121CB11,2,2,CB503,,3/23/2021 21:42:09,,3/23/2021 21:42:09,CREDIT
2113CS01,2,2,CS514,,7/23/2021 13:01:38,,7/23/2021 13:01:38,CORE
2012PH24,3,3,PH527,,3/25/2021 10:07:25,,3/25/2021 10:07:25,CORE
2012PH21,3,3,PH591,,3/22/2021 10:38:06,,3/22/2021 10:38:06,CORE
2012PH20,3,3,PH527,,3/25/2021 11:02:34,,3/25/2021 11:02:34,CORE
2012PH19,3,3,PH601,,3/25/2021 09:45:10,,3/25/2021 09:45:10,Elective - I
2012PH19,3,3,PH525,,3/25/2021 09:45:10,,3/25/2021 09:45:10,CORE
2012PH19,3,3,PH521,,3/25/2021 09:45:10,,3/25/2021 09:45:10,CORE
2012PH17,3,3,PH523,,3/24/2021 22:51:31,,3/24/2021 22:51:31,CORE
2012PH15,3,3,PH523,,3/22/2021 18:54:16,,3/22/2021 18:54:16,CORE
1801CS01,7,7,CS555,,7/23/2021 02:00:11,,7/23/2021 02:00:11,Department Elective - III
1801CS01,7,7,CS571,,7/23/2021 02:00:11,,7/23/2021 02:00:11,Department Elective - II
2012PH14,3,3,PH525,,3/25/2021 09:08:50,,3/25/2021 09:08:50,CORE
1801CE05,7,7,CE491,,7/24/2021 10:08:24,,7/24/2021 10:08:24,CORE
2012PH12,3,3,PH591,,3/24/2021 23:19:21,,3/24/2021 23:19:21,CORE
2012PH11,3,3,PH591,,3/24/2021 20:13:12,,3/24/2021 20:13:12,CORE
1801CS02,7,7,CS571,,7/23/2021 10:07:02,,7/23/2021 10:07:02,Department Elective - II
2012PH10,3,3,PH604,,3/22/2021 19:43:34,,3/22/2021 19:43:34,Elective - I
2012PH10,3,3,PH521,,3/22/2021 19:43:34,,3/22/2021 19:43:34,CORE
1801CE05,7,7,CE549,,7/24/2021 10:08:24,,7/24/2021 10:08:24,Department Elective - I
2012PH09,3,3,PH527,,3/24/2021 18:32:04,,3/24/2021 18:32:04,CORE
2012PH08,3,3,PH527,,3/25/2021 19:14:28,,3/25/2021 19:14:28,CORE
2012PH08,3,3,PH523,,3/25/2021 19:14:28,,3/25/2021 19:14:28,CORE
2012PH07,3,3,PH525,,3/23/2021 20:02:12,,3/23/2021 20:02:12,CORE
1801CS05,7,7,CS491,,7/23/2021 10:09:43,,7/23/2021 10:09:43,CORE
1801CS05,7,7,CS555,,7/23/2021 10:09:43,,7/23/2021 10:09:43,Department Elective - III
1801CS05,7,7,CS571,,7/23/2021 10:09:43,,7/23/2021 10:09:43,Department Elective - II
2012PH05,3,3,PH601,,3/24/2021 21:41:01,,3/24/2021 21:41:01,Elective - I
2012PH04,3,3,PH521,,3/24/2021 22:55:50,,3/24/2021 22:55:50,CORE
2012PH01,3,3,PH604,,3/25/2021 02:32:38,,3/25/2021 02:32:38,Elective - I
2012MA24,3,3,MA521,,3/22/2021 10:22:49,,3/22/2021 10:22:49,CORE
2012MA21,3,3,MA539,,3/23/2021 17:44:41,,3/23/2021 17:44:41,Elective - II
2012MA19,3,3,MA527,,3/25/2021 21:53:17,,3/25/2021 21:53:17,Elective - I
2012MA16,3,3,MA539,,3/24/2021 16:28:39,,3/24/2021 16:28:39,Elective - II
2012MA15,3,3,MA591,,3/24/2021 22:40:37,,3/24/2021 22:40:37,CORE
1801CS08,7,7,CS564,,7/23/2021 11:06:10,,7/23/2021 11:06:10,Department Elective - III
1801CS08,7,7,CS571,,7/23/2021 11:06:10,,7/23/2021 11:06:10,Department Elective - II
1801CS08,7,7,CS575,,7/23/2021 11:06:10,,7/23/2021 11:06:10,Department Elective - IV
1801CS08,7,7,PH401,,7/23/2021 11:06:10,,7/23/2021 11:06:10,Open Elective
1801CE07,7,7,CE495,,7/24/2021 10:12:58,,7/24/2021 10:12:58,CORE
1801CS09,7,7,CS555,,7/23/2021 10:03:57,,7/23/2021 10:03:57,Department Elective - III
1801CS09,7,7,CS571,,7/23/2021 10:03:57,,7/23/2021 10:03:57,Department Elective - II
1801CS09,7,7,CS577,,7/23/2021 10:03:57,,7/23/2021 10:03:57,Department Elective - IV
1801CE07,7,7,CE549,,7/24/2021 10:12:58,,7/24/2021 10:12:58,Department Elective - I
1801CS10,7,7,CS491,,7/23/2021 01:05:45,,7/23/2021 01:05:45,CORE
1801CS10,7,7,CS555,,7/23/2021 01:05:45,,7/23/2021 01:05:45,Department Elective - III
1801CS10,7,7,CS571,,7/23/2021 01:05:45,,7/23/2021 01:05:45,Department Elective - II
1801CS10,7,7,CS577,,7/23/2021 01:05:45,,7/23/2021 01:05:45,Department Elective - IV
1801CS10,7,7,PH401,,7/23/2021 01:05:45,,7/23/2021 01:05:45,Open Elective
1801CS11,7,7,CS491,,7/23/2021 12:31:09,,7/23/2021 12:31:09,CORE
1801CS11,7,7,CS555,,7/23/2021 12:31:09,,7/23/2021 12:31:09,Department Elective - III
1801CS11,7,7,CS571,,7/23/2021 12:31:09,,7/23/2021 12:31:09,Department Elective - II
1801CS11,7,7,CS577,,7/23/2021 12:31:09,,7/23/2021 12:31:09,Department Elective - IV
1801CS11,7,7,PH401,,7/23/2021 12:31:09,,7/23/2021 12:31:09,Open Elective
1801CS12,7,7,CS491,,7/23/2021 13:14:12,,7/23/2021 13:14:12,CORE
1801CS12,7,7,CS555,,7/23/2021 13:14:12,,7/23/2021 13:14:12,Department Elective - III
1801CS12,7,7,CS571,,7/23/2021 13:14:12,,7/23/2021 13:14:12,Department Elective - II
1801CS12,7,7,CS577,,7/23/2021 13:14:12,,7/23/2021 13:14:12,Department Elective - IV
1801CS12,7,7,HS451,,7/23/2021 13:14:12,,7/23/2021 13:14:12,Open Elective
1801CS13,7,7,CS491,,7/23/2021 10:14:17,,7/23/2021 10:14:17,CORE
1801CS13,7,7,CS555,,7/23/2021 10:14:17,,7/23/2021 10:14:17,Department Elective - III
1801CS13,7,7,CS571,,7/23/2021 10:14:17,,7/23/2021 10:14:17,Department Elective - II
1801CS13,7,7,CS577,,7/23/2021 10:14:17,,7/23/2021 10:14:17,Department Elective - IV
1801CS13,7,7,PH401,,7/23/2021 10:14:17,,7/23/2021 10:14:17,Open Elective
1801CS14,7,7,CS491,,7/23/2021 10:15:06,,7/23/2021 10:15:06,CORE
1801CS14,7,7,CS555,,7/23/2021 10:15:06,,7/23/2021 10:15:06,Department Elective - III
1801CS14,7,7,CS571,,7/23/2021 10:15:06,,7/23/2021 10:15:06,Department Elective - II
1801CS14,7,7,CS577,,7/23/2021 10:15:06,,7/23/2021 10:15:06,Department Elective - IV
1801CS14,7,7,PH401,,7/23/2021 10:15:06,,7/23/2021 10:15:06,Open Elective
1801CS16,7,7,CS491,,7/23/2021 10:34:22,,7/23/2021 10:34:22,CORE
1801CS16,7,7,CS555,,7/23/2021 10:34:22,,7/23/2021 10:34:22,Department Elective - III
1801CS16,7,7,CS571,,7/23/2021 10:34:22,,7/23/2021 10:34:22,Department Elective - II
1801CS16,7,7,CS577,,7/23/2021 10:34:22,,7/23/2021 10:34:22,Department Elective - IV
1801CS16,7,7,PH401,,7/23/2021 10:34:22,,7/23/2021 10:34:22,Open Elective
1801CS18,7,7,CS491,,7/23/2021 10:07:42,,7/23/2021 10:07:42,CORE
1801CB21,7,7,CB405,,7/23/2021 13:54:43,,7/23/2021 13:54:43,CORE
1801CS18,7,7,CS571,,7/23/2021 10:07:42,,7/23/2021 10:07:42,Department Elective - II
1801CS18,7,7,CS577,,7/23/2021 10:07:42,,7/23/2021 10:07:42,Department Elective - IV
1801CS18,7,7,PH401,,7/23/2021 10:07:42,,7/23/2021 10:07:42,Open Elective
1801CS19,7,7,CS491,,7/23/2021 01:12:49,,7/23/2021 01:12:49,CORE
1801CS19,7,7,CS555,,7/23/2021 01:12:49,,7/23/2021 01:12:49,Department Elective - III
1801CS19,7,7,CS571,,7/23/2021 01:12:49,,7/23/2021 01:12:49,Department Elective - II
